NID,CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,NARRATIVE,LATITUDE,LONGITUDE,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
502740,6115714,8/22/2006 12:00:00 AM,DAY,THEFT F/AUTO,1,9/15/2009 7:03:23 AM,UNIT B/O F ST NW,C1 REPORTS UNKNOWN PERSON(S) STOLE VARIOUS PROPERTY FROM THE VEHICLE.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
505084,6128106,9/17/2006 12:00:00 AM,DAY,STOLEN AUTO,STOLEN AUTO,9/15/2009 7:03:23 AM,UNIT B/O 49TH ST NE,NO NARRATIVE IS AVAILABLE.,38.8903664467587,-76.9329483985462,WASHINGTON,DC,7,7C,7C03,SIXTH,602,33,NONE,NONE,NONE,NONE
505960,6133706,9/28/2006 12:00:00 AM,EVN,ROBBERY,GUN,9/15/2009 7:03:23 AM,200 B/O RHODE ISLAND AVE NW,C2 REPORTS FOR C1 THAT SUSPECTS ENTERED THE LOCATION AND APPROACHED HIM AND C3. C2 STATES S1 APPROACHED THE SERVICE WINDOW AND TOLD C2 TO UNLOCK THE DOOR OR I''LL SHOOT YOU. C2 THEN OPENED THE DOOR AND S1 CAME BEHIND THE COUNTER.,38.9147171965139,-77.0149851310962,WASHINGTON,DC,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,NONE
506922,6138422,10/8/2006 12:00:00 AM,DAY,ROBBERY,GUN,9/15/2009 7:03:23 AM,200 B/O RHODE ISLAND AVE NW,"C1&2 REPORTS THAT S1&2 ENTERED THE PREMISES, AND THEN ORDER A SANDWICH AND WHEN C1 TURN HER BACK, S1 JUMPED OVER THE COUNTER AND PRODUCE A HAND GUN AND DEMANDED FOR THE MONEY FROM THE CASH REGISTER. S1 THEN TOOK $100.",38.9147171965139,-77.0149851310962,WASHINGTON,DC,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,NONE
511160,6160508,11/24/2006 12:00:00 AM,UNK,BURGLARY,2,9/15/2009 7:03:23 AM,UNIT B/O F ST NW,R1 REPORTS FOR C1 UNKNOWN PERSON(S) GAINED ENTRY TO THE LISTED LOCATION BY BREAKING THE LOCK TO THE FRONT DOOR. ONCE INSIDE UNKNOWN PERSON(S) STOLE VARIOUS PROPERTY.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
512486,6166447,12/7/2006 12:00:00 AM,DAY,THEFT F/AUTO,2,9/15/2009 7:03:23 AM,8000 B/O EASTERN AVE NW,C1 REPORTS THAT UNKNOWN SUSPECT(S) SMASHED THE FRONT PASSENGER WINDOW OF THE VEHICLE TO GAIN ENTRY.ONCE INSIDE VARIOUS PROPERTY WAS STOLEN.,38.9874893318211,-77.0304025484153,WASHINGTON,DC,4,4A,4A02,FOURTH,401,16,NONE,NONE,NONE,NONE
513059,6169269,12/13/2006 12:00:00 AM,EVN,SEX ABUSE,CHILD 2ND,9/15/2009 7:03:23 AM,800 B/O 11TH ST NW,"TO PROTECT THE VICTIM'S PRIVACY, THE NARRATIVE IS NOT AVAILABLE.",38.9005800268386,-77.0270638059597,WASHINGTON,DC,2,2F,2F06,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
517207,7003103,1/7/2007 12:00:00 AM,MID,THEFT,1,9/15/2009 7:03:23 AM,UNIT B/O F ST NW,NO NARRATIVE IS AVAILABLE.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
518123,7015114,2/2/2007 12:00:00 AM,MID,THEFT,1,9/15/2009 7:03:23 AM,UNIT B/O F ST NW,C1 STATES VARIOUS PROPERTY WAS STOLEN FROM THE BACK OF HER CHAIR WHILE IT WAS LEFT UNATTENDED.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
518656,7017959,2/9/2007 12:00:00 AM,MID,ROBBERY,P/P,9/15/2009 7:03:23 AM,UNIT B/O F ST NW,C-1 REPORTS WHILE INSIDE THE BAR S-1 STOLE HER WALLET IN AN UNKNOWN MANNER.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
519093,7020156,2/14/2007 12:00:00 AM,MID,ADW,KNIFE,9/15/2009 7:03:23 AM,8000 B/O EASTERN AVE NW,"C1 AND C2 REPORT WHILE THEY WERE ASLEEP S1 CAME IN THE BEDROOM IN A RAGE. S1 STATED COME OUT, COME OUT WITH THE KNIFE IN YOUR RIGHT HAND. S1 THEN STATED I''M GONNA KILL YOU TODAY YOU BEAT MY WIFE AND YOU''RE A STUPID....",38.9874893318211,-77.0304025484153,WASHINGTON,DC,4,4A,4A02,FOURTH,401,16,NONE,NONE,NONE,NONE
519821,7024522,2/24/2007 12:00:00 AM,EVN,THEFT F/AUTO,1,9/15/2009 7:03:23 AM,UNIT B/O F ST NW,C1 REPORTS S1 BROKE INTO THE VEHICLE AND STOLE VARIOUS PROPERTY.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
520519,7028437,3/5/2007 12:00:00 AM,UNK,THEFT,1,9/15/2009 7:03:23 AM,UNIT B/O F ST NW,R1 REPORTS FOR C1 THAT VARIOUS PROPERTY WAS STOLEN FROM THE LISTED LOCATION BY UNKNOWN PERSON(S) .,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
521078,7031851,3/12/2007 12:00:00 AM,UNK,THEFT,1,9/15/2009 7:03:23 AM,UNIT B/O F ST NW,R1 REPORTS FOR C1 THAT UNKNOWN PERSON(S) STOLE VARIOUS PROPERTY IN AN UNKNOWN MANNER.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
521939,7036352,3/22/2007 12:00:00 AM,MID,STOLEN AUTO,STOLEN AUTO,9/15/2009 7:03:23 AM,200 B/O RHODE ISLAND AVE NW,C1 REPORTS THAT SUSPECT(S) UNKNOWN TOOK VARIOUS PROPERTY FROM A LOCKED RAMP WITHOUT PERMISSION.,38.9147171965139,-77.0149851310962,WASHINGTON,DC,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,NONE
522806,7040508,3/30/2007 12:00:00 AM,EVN,THEFT F/AUTO,2,9/15/2009 7:03:23 AM,2100 B/O 15TH ST NW,SUSPECT UNKNOWN SMASHED THE VENT WINDOW THEN STOLE VARIOUS PROPERTY.,38.9185415759376,-77.0345993366455,WASHINGTON,DC,1,1B,1B04,THIRD,305,6,NONE,NONE,NONE,NONE
523452,7043872,4/6/2007 12:00:00 AM,EVN,STOLEN AUTO,STOLEN AUTO,9/15/2009 7:03:23 AM,3100 B/O 15TH PL SE,C1 REPORTS HIS VEHICLE WAS STOLEN BY UNKNOWN SUSPECT(S) WHILE PARKED AT THE LISTED LOCATION. THE KEYS AND REGISTRATION ARE WITH THE AUTO.,38.8504500963027,-76.9823326352652,WASHINGTON,DC,8,8E,8E01,SEVENTH,704,38,NONE,NONE,NONE,NONE
523718,7045363,4/10/2007 12:00:00 AM,DAY,STOLEN AUTO,STOLEN AUTO,9/15/2009 7:03:23 AM,UNIT B/O 49TH ST NE,C1 REPORTS UNKNOWN PERSON(S) TOOK HER VEHICLE WITHOUT PERMISSION. KEYS AND REGISTRATION ARE WITH THE OWNER.,38.8903664467587,-76.9329483985462,WASHINGTON,DC,7,7C,7C03,SIXTH,602,33,NONE,NONE,NONE,NONE
525543,7054581,4/28/2007 12:00:00 AM,DAY,ADW,GUN,9/15/2009 7:03:24 AM,UNIT B/O 49TH ST NE,"C1 WAS WALKING HOME WHEN S1 APPROACHED HIM FROM THE REAR, GRABBED C1''S SHOULDER, UNSNAPPED A HOLSTER ON HIS WAIST, REMOVED A HANDGUN AND BEGAN TO RAISE IT.",38.8903664467587,-76.9329483985462,WASHINGTON,DC,7,7C,7C03,SIXTH,602,33,NONE,NONE,NONE,NONE
526765,7060782,5/10/2007 12:00:00 AM,UNK,THEFT,2,9/15/2009 7:03:24 AM,UNIT B/O F ST NW,C1 REPORTS UNKNOWN PERSON(S) STOLE VARIOUS PROPERTY IN AN UNKNOWN MANNER.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
527244,7063279,5/15/2007 12:00:00 AM,EVN,THEFT F/AUTO,1,9/15/2009 7:03:24 AM,UNIT B/O F ST NW,C1 REPORTS BETWEEN THE LISTED DATES AND TIMES PERSON(S)UNKNOWN ENTERED THE VEHICLE BY BREAKING THE REAR WINDOW AND STOLE VARIOUS PROPERTY.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
527258,7063524,5/15/2007 12:00:00 AM,EVN,THEFT,1,9/15/2009 7:03:24 AM,UNIT B/O F ST NW,R1 REPORTS FOR C1 ON THE LISTED DATE AND TIME PERSON(S)UNKNOWN STOLE VARIOUS PROPERTY FROM A SECURE OFFICE AT THE LISTED LOCATION.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
529481,7074068,6/4/2007 12:00:00 AM,EVN,THEFT F/AUTO,1,9/15/2009 7:03:24 AM,3100 B/O 15TH PL SE,C1 RPTS UNKNOWN SUSPECT(S) SMASHED THE PASSENGER''S SIDE WINDOW WITH A ROCK AND STOLE VARIOUS PROPERTY FROM C1''S VEHICLE WHILE PARKED AT THE CONSTRUCTION SITE.,38.8504500963027,-76.9823326352652,WASHINGTON,DC,8,8E,8E01,SEVENTH,704,38,NONE,NONE,NONE,NONE
530807,7080935,6/17/2007 12:00:00 AM,MID,ROBBERY,GUN,9/15/2009 7:03:24 AM,2100 B/O 15TH ST NW,"COMPL REPORT THE SUBJECT APPROACHED, PRODUCED A HANDGUN AND DEMANDED MONEY. DURING THE PHYSICAL ALTERCATION, THE COMPL WAS SHOT IN THE LOWER BACK.",38.9185415759376,-77.0345993366455,WASHINGTON,DC,1,1B,1B04,THIRD,305,6,NONE,NONE,NONE,NONE
531289,7083204,6/21/2007 12:00:00 AM,UNK,BURGLARY,2,9/15/2009 7:03:24 AM,3100 B/O 15TH PL SE,R1 REPORTS FOR C1 THAT UNK. SUSPECT(S) ENTERED THE EVENT LOCATION BY PRYING OPEN THE FRONT DOOR AND PROPERTY WAS REMOVED. ALSO WHILE ON THE PROPERTY THE UNK. SUSPECT(S) ENTERED VARIOUS VEHICLE.,38.8504500963027,-76.9823326352652,WASHINGTON,DC,8,8E,8E01,SEVENTH,704,38,NONE,NONE,NONE,NONE
531348,7082649,6/20/2007 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,9/15/2009 7:03:24 AM,3100 B/O 15TH PL SE,R1 REPORTS FOR C1 THAT UNK. SUSPECT(S) ENTERED A SECURED FENCED IN AREA AND STOLE VARIOUS VEHICLE. VARIOUS VEHICLE WAS RECOVERED IN THE R/O 1400 BRUCE PL. S.E.,38.8504500963027,-76.9823326352652,WASHINGTON,DC,8,8E,8E01,SEVENTH,704,38,NONE,NONE,NONE,NONE
533602,7094479,7/13/2007 12:00:00 AM,DAY,THEFT,2,9/15/2009 7:03:24 AM,UNIT B/O F ST NW,"C1 REPORTS WHILE STANDING AT AN ATM S1 APPROACHED AND ASKED TO EXCHANGE 2 $10.00 FOR C1''S $20.00. C1 HANDED S1 A &20.00 , S1 QUICKLY HANDED C1 A $1.00 STATING THE ATM GAVE YOU A $1.00 NOT A $20.00. S1 THEN FLED ON FOOT.",38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
535268,7102900,7/29/2007 12:00:00 AM,DAY,BURGLARY,2,9/15/2009 7:03:24 AM,200 B/O RHODE ISLAND AVE NW,C-1 REPORTS THAT UNKNOWN PERSON(S) BROKE INTO THE LISTED LOCATION BY PRYING THE METAL BARS OFF THE REAR WINDOW. ONCE INSIDE THE SUSPECT(S) THEN STOLE THE LISTED ITEMS.,38.9147171965139,-77.0149851310962,WASHINGTON,DC,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,NONE
535841,7105428,8/3/2007 12:00:00 AM,DAY,THEFT,1,9/15/2009 7:03:24 AM,UNIT B/O F ST NW,R-1 REPORTS FOR C-1 BETWEEN THE LISTED DATES AND TIMES PERSON(S )UNKNOWN ENTERED THE LISTED LOCATION AND STOLE THE LISTED PROPERTY,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
541340,7131560,9/25/2007 12:00:00 AM,MID,ADW,KNIFE,9/15/2009 7:03:24 AM,UNIT B/O F ST NW,"STREET/HIGHWAY/ROAD C1 REPORTS AFTER A VERBAL ALTERCATION WITH S1, S1 TOOK OUT A POCKET KNIFE OPEN THE BLADE THEN APPROACHED C1. S1 STATED I''M GOING TO KILL YOU, YOU M**** F****.",38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
542403,7137070,10/5/2007 12:00:00 AM,EVN,ROBBERY,GUN,9/15/2009 7:03:24 AM,200 B/O RHODE ISLAND AVE NW,"COMPLAINANT REPORTS TATS-1 THRU 13 APPROACHED HIM AFTER THE COMPLAINANT USED HIS CELL PHONE ,S-! STATED GIVE IT UP . THEN S-1 PRODUCED A HANDGUN AND POINTED IT AT C-1. S-AND S-2 WHEN INTO THE COMPLAINANTS POCKETS AND TOOK THE LISTED ITEMS.",38.9147171965139,-77.0149851310962,WASHINGTON,DC,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
544355,7146203,10/23/2007 12:00:00 AM,EVN,ADW,KNIFE,9/15/2009 7:03:24 AM,2100 B/O 15TH ST NW,"COMPL REPORTS DURING A VERBAL AND PHYSICAL ALTERCATION WITH HIS GIRLFRIEND, THE FEMALE SUBJECT PRODUCED A KNIFE AND BEGAN SWINGING THE KNIFE. THE COMPL WAS CUT IN THE HAND DURING A STRUGGLE FOR THE KNIFE. THE SUBJECT FLED.",38.9185415759376,-77.0345993366455,WASHINGTON,DC,1,1B,1B04,THIRD,305,3,NONE,NONE,14TH ST NW,NONE
547090,7087954,6/30/2007 12:00:00 AM,EVN,STOLEN AUTO,STOLEN AUTO,9/15/2009 7:03:24 AM,2100 B/O 15TH ST NW,NO NARRATIVE IS AVAILABLE.,38.9185415759376,-77.0345993366455,WASHINGTON,DC,1,1B,1B04,THIRD,305,6,NONE,NONE,NONE,NONE
567254,6064168,5/16/2006 12:00:00 AM,UNK,THEFT,2,9/15/2009 7:03:24 AM,UNIT B/O 49TH ST NE,NO NARRATIVE IS AVAILABLE.,38.8903664467587,-76.9329483985462,WASHINGTON,DC,7,7C,7C03,SIXTH,602,33,NONE,NONE,NONE,NONE
570652,7020236,2/14/2007 12:00:00 AM,UNK,ADW,OTHER,9/15/2009 7:03:24 AM,UNIT B/O 49TH ST NE,NO NARRATIVE IS AVAILABLE.,38.8903664467587,-76.9329483985462,WASHINGTON,DC,7,7C,7C03,SIXTH,602,33,NONE,NONE,NONE,NONE
572452,8010720,1/24/2008 12:00:00 AM,DAY,THEFT,2,9/15/2009 7:03:24 AM,UNIT B/O F ST NW,COMMERCIAL OFFICE BUILDING C-1 REPORTS S-1 STOLE THE LISTED PROPERTY FROM THE LISTED LOCATION.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
574195,8017715,2/8/2008 12:00:00 AM,UNK,THEFT,1,9/15/2009 7:03:24 AM,UNIT B/O F ST NW,C-1 RPTS THAT S-1 STOLE THE LISTED PROPERTY IN AN UNKNOWN MANNER FROM THE LISTED LOCATION.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
580270,8040388,3/27/2008 12:00:00 AM,MID,THEFT F/AUTO,2,9/15/2009 7:03:24 AM,2100 B/O 15TH ST NW,C-1 REPORTS THE PASSENGER WINDOW WAS SMASHED TO REMOVE PROPERTY.,38.9185415759376,-77.0345993366455,WASHINGTON,DC,1,1B,1B04,THIRD,305,3,NONE,NONE,14TH ST NW,NONE
582190,8049724,4/15/2008 12:00:00 AM,MID,THEFT F/AUTO,2,9/15/2009 7:03:24 AM,8000 B/O EASTERN AVE NW,C-1 RPTS THAT S-1 ENTERED THE LISTED AUTO AND STOLE THE LISTED PROPERTY.,38.9874893318211,-77.0304025484153,WASHINGTON,DC,4,4A,4A02,FOURTH,401,16,NONE,NONE,NONE,NONE
587336,8066943,5/18/2008 12:00:00 AM,MID,BURGLARY,1,9/15/2009 7:03:24 AM,8000 B/O EASTERN AVE NW,NO NARRATIVE IS AVAILABLE.,38.9874893318211,-77.0304025484153,WASHINGTON,DC,4,4A,4A02,FOURTH,401,16,NONE,NONE,NONE,NONE
589270,8074343,6/1/2008 12:00:00 AM,DAY,THEFT F/AUTO,2,9/15/2009 7:03:24 AM,UNIT B/O 49TH ST NE,PARKING LOT/PARKING GARAGE C-1 REPORTS THAT UNKNOWN SUBJECT(S) BROKE THE FRONT PASSENGER WINDOW TO THE LISTED VEHICLE AND TOOK THE LISTED PROPERTY WITHOUT PERMISSION.,38.8903664467587,-76.9329483985462,WASHINGTON,DC,7,7C,7C03,SIXTH,602,33,NONE,NONE,NONE,NONE
592832,8086957,6/24/2008 12:00:00 AM,UNK,BURGLARY,2,9/15/2009 7:03:24 AM,200 B/O RHODE ISLAND AVE NW,C-1 REPORTS ON THE LISTED DATE AND TIME THE LISTED PROPERTY WAS STOLEN FROM THE LISTED LOCATION.,38.9147171965139,-77.0149851310962,WASHINGTON,DC,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,NONE
595518,8094415,7/8/2008 12:00:00 AM,EVN,THEFT F/AUTO,1,9/15/2009 7:03:24 AM,800 B/O 11TH ST NW,STREET/HIGHWAY/ROAD C-1 REPORTS UNK PERSON(S) ENTERED THE LISTED VEHICLE BY SMASHING THE PASSENGER WINDOW. ONCE INSIDE STOLE THE LISTED PROPERTY.,38.9005800268386,-77.0270638059597,WASHINGTON,DC,2,2F,2F06,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
599733,8102486,7/23/2008 12:00:00 AM,UNK,THEFT F/AUTO,2,9/15/2009 7:03:24 AM,UNIT B/O 49TH ST NE,NO NARRATIVE IS AVAILABLE.,38.8903664467587,-76.9329483985462,WASHINGTON,DC,7,7C,7C03,SIXTH,602,33,NONE,NONE,NONE,NONE
604134,8111605,8/8/2008 12:00:00 AM,DAY,THEFT,BICYCLE,9/15/2009 7:03:24 AM,200 B/O RHODE ISLAND AVE NW,"C-1 REPORTS BETWEEN THE LISTED DATES AND TIMES, AN UNKNOWN PERSON(S) STOLE THE LISTED PROPERTY FROM THE LISTED LOCATION.",38.9147171965139,-77.0149851310962,WASHINGTON,DC,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,NONE
615622,8138397,9/29/2008 12:00:00 AM,EVN,BURGLARY,2,9/15/2009 7:03:24 AM,UNIT B/O F ST NW,C-1 REPORTS UNKNOWN PERSON(S) ENTERED THE LISTED LOCATION WHILE C-1 WAS AWAY BY FORCING OPEN THE DOOR. ONCE INSIDE STOLE THE LISTED PROPERTY.,38.8973081360764,-77.0106631760166,,,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
616929,8141681,10/5/2008 12:00:00 AM,DAY,THEFT F/AUTO,2,9/15/2009 7:03:24 AM,200 B/O RHODE ISLAND AVE NW,SUSPECT UNKNOWN SMASHED THE DRIVERS SIDE WINDOW THEN STOLE THE LISTED PROPERTY.,38.9147171965139,-77.0149851310962,WASHINGTON,DC,1,1B,1B01,THIRD,305,3,NONE,NONE,NONE,NONE
624484,8149865,10/21/2008 12:00:00 AM,UNK,THEFT F/AUTO,1,9/15/2009 7:03:24 AM,UNIT B/O 49TH ST NE,C-1 REPORTS THAT HE PARKED HIS VEHICLE AT THE LISTED LOCATION AN UNKNOWN SUBJECT(S) TOOK AN UNKNOWN OBJECT AND BROKE THE RIGHT REAR WINDOW AND REMOVED THE LISTED PROPERTY. C-1 ALSO REPORTS THE DRIVERS DOOR WAS DAMAGED IN AN UNKNOWN MANNOR.,38.8903664467587,-76.9329483985462,WASHINGTON,DC,7,7C,7C03,SIXTH,602,33,NONE,NONE,NONE,NONE
630318,8157087,11/4/2008 12:00:00 AM,MID,BURGLARY,2,9/15/2009 7:03:24 AM,200 B/O RHODE ISLAND AVE NW,R-1 REPORTS ON THE LISTED DATE AND TIME S-1 WAS SEEN LEAVING THE LISTED LOCATION CARRYING THE LISTED PROPERTY.,38.9147171965139,-77.0149851310962,WASHINGTON,DC,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,NONE
636187,8167563,11/25/2008 12:00:00 AM,EVN,THEFT F/AUTO,1,9/15/2009 7:03:24 AM,2100 B/O 15TH ST NW,STREET/HIGHWAY/ROAD SUSPECT UNKNOWN SMASHED THE PASSENGER SIDE WINDOW THEN STOLE THE LISTED PROPERTY.,38.9185415759376,-77.0345993366455,WASHINGTON,DC,1,1B,1B04,THIRD,305,6,NONE,NONE,NONE,NONE
636507,8167979,11/26/2008 12:00:00 AM,UNK,BURGLARY,2,9/15/2009 7:03:24 AM,UNIT B/O F ST NW,"CONSTRUCTION SITE R-1 REPORTS FOR C-1 THAT THE ABOVE LISTED ITEMS WERE STOLEN BY CUTTING THE LOCK OFF OF THE TRAILER DOOR, THEN PRYING THE LOCKED AREA OPEN. NO WITNESSES/ SUSPECTS OR NO KNOWN LAST DIRECTION OF TRAVEL.",38.8973081360764,-77.0106631760166,,,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
646903,8174258,12/10/2008 12:00:00 AM,MID,THEFT F/AUTO,1,9/15/2009 7:03:24 AM,3100 B/O 15TH PL SE,C1 REPORTS THAT SOME PERSON(S) BROKE INTO THE LISTED AUTO CAUSING THE LISTED DAMAGE AND STOLE THE LISTED PROPERTY ITEM(S).,38.8504500963027,-76.9823326352652,WASHINGTON,DC,8,8E,8E01,SEVENTH,704,38,NONE,NONE,NONE,NONE
